Employee ID,Employee Name,Job Title,Department,Salary ($),Hire Date
4625,Angela Richardson,Data Analyst,Pull Dept,49527.3,2015-08-01
7600,James Thomas,UX Designer,Sport Dept,103902.38,2016-11-20
3934,Lauren Rubio,Software Engineer,Develop Dept,55800.71,2017-02-03
4587,Angel Murphy,UX Designer,Ready Dept,60097.11,2020-08-23
2349,Lauren Thompson,HR Specialist,Stay Dept,117759.18,2017-10-23
6364,Matthew Mejia,UX Designer,Someone Dept,96026.32,2016-07-13
7524,Mark Bonilla,HR Specialist,North Dept,102957.57,2021-11-16
6969,Gregory Moody,Project Manager,Low Dept,94591.37,2022-12-23
7224,Kevin Johnson,System Administrator,Degree Dept,55865.15,2016-06-15
8137,David Smith,Project Manager,Than Dept,52789.17,2017-11-01
9745,Gary Johnson,Software Engineer,Environmental Dept,69040.63,2019-12-13
2263,Lisa Alexander,HR Specialist,Its Dept,90013.91,2018-01-29
8095,Sandra Roach,Project Manager,Film Dept,61071.25,2015-06-25
7826,Raymond Brown,Project Manager,Push Dept,54058.21,2020-01-25
3481,Crystal Newman,HR Specialist,Benefit Dept,107542.97,2019-04-09
9196,Erin Price,UX Designer,Town Dept,71838.94,2016-06-18
5792,Richard Morales,System Administrator,Thus Dept,104317.62,2019-12-06
5073,Glenn Frey,HR Specialist,Value Dept,74892.96,2020-08-29
4016,John Wagner,Data Analyst,Top Dept,92612.4,2023-11-04
4547,Regina West,HR Specialist,Meeting Dept,100043.4,2017-12-07
4343,Nathan Butler,HR Specialist,Learn Dept,81612.02,2020-09-29
1340,Yvette Terry,Software Engineer,Physical Dept,50126.46,2021-05-22
9241,Dr. Kelsey Allen MD,Data Analyst,Space Dept,102867.06,2023-08-23
1384,Andrew Reyes,Data Analyst,Example Dept,48183.49,2015-06-13
8489,Tanya Harris,Software Engineer,Others Dept,80034.96,2021-05-26
1081,Patrick May,UX Designer,There Dept,78825.42,2016-04-12
8297,Kyle Fitzgerald,Software Engineer,Then Dept,105127.48,2018-07-14
8108,Joseph Perez,System Administrator,Under Dept,107131.07,2016-04-10
2448,Jesse Pham,System Administrator,Word Dept,69527.11,2019-10-10
3963,Jessica Perez,Data Analyst,Bad Dept,116763.09,2024-03-28
7364,Mrs. Jaime Skinner,Software Engineer,Increase Dept,95081.19,2020-12-01
7284,Tracy Johnson,UX Designer,Win Dept,68756.56,2018-09-13
5615,Micheal Rhodes,Data Analyst,Role Dept,97348.29,2022-03-24
1247,Sarah Robinson,HR Specialist,Also Dept,52201.27,2023-06-25
4150,Donald Hicks,Software Engineer,Hold Dept,92783.05,2023-07-28
6191,Ellen Martin,UX Designer,Record Dept,87552.65,2016-11-24
2600,Shannon Hart,Software Engineer,Much Dept,63518.36,2016-11-28
3639,Jeffrey Munoz,System Administrator,Author Dept,66274.5,2022-11-20
9131,Tyler Huffman,UX Designer,Interview Dept,75170.99,2020-06-21
4955,Amanda Parker,Software Engineer,Meet Dept,106940.0,2020-03-19
6413,Zachary Vega,System Administrator,Station Dept,53271.59,2021-01-29
8094,Jacob Gonzalez,Project Manager,Husband Dept,97484.84,2021-09-16
5850,Nancy Smith,Software Engineer,Pattern Dept,73351.59,2018-04-18
8264,Robert Anderson,UX Designer,Stuff Dept,77154.16,2022-01-19
3472,Kelly Thompson,Data Analyst,Life Dept,54172.17,2019-11-18
8771,Christina Zavala,Project Manager,Central Dept,41912.93,2017-05-12
4673,David Wilkins,UX Designer,Hear Dept,53767.04,2020-10-02
7450,Christopher Leon,System Administrator,Enough Dept,68657.56,2017-02-10
8465,Sean Leblanc,HR Specialist,Tend Dept,112419.63,2023-05-08
4330,Troy Miller,HR Specialist,Produce Dept,54294.18,2019-04-25
4244,James Reyes,HR Specialist,Hour Dept,102192.91,2023-12-04
9419,Jacob Vasquez,UX Designer,Network Dept,87294.13,2016-12-19
1722,Robert Weaver,Software Engineer,Lead Dept,65000.58,2019-01-19
5651,David Johnson,UX Designer,Watch Dept,102552.13,2019-06-24
1207,Brittany Solomon,UX Designer,Spring Dept,112856.56,2022-12-06
5022,Stephen Lamb,System Administrator,Value Dept,92459.92,2016-06-26
7907,Robert Curtis,HR Specialist,Story Dept,40476.64,2017-08-19
1623,Kristin Gaines,System Administrator,Wish Dept,43619.57,2020-09-17
4310,Rachel White,HR Specialist,Cost Dept,93186.16,2024-02-03
7436,Jennifer Joseph,Software Engineer,Standard Dept,40822.06,2022-10-31
4091,Joshua Mckee,UX Designer,Keep Dept,50549.66,2018-02-17
6558,Ronald Shepard,HR Specialist,If Dept,80553.26,2019-04-03
7126,Billy Rice,Data Analyst,End Dept,72614.41,2018-12-31
7490,Kara Cruz,Project Manager,Bring Dept,51618.18,2019-04-15
4442,Monique Morgan,System Administrator,Draw Dept,115128.11,2022-09-17
3777,Kathleen Maxwell,Project Manager,Baby Dept,81285.42,2016-01-09
